age,monthly_income,employment_years,existing_loan_amount,loan_amount_requested,loan_tenure_months,credit_card_utilization,missed_payments_last_12m,utility_payment_score,mobile_recharge_consistency,employment_type,residence_type,defaulted
54,78889,1.3,65325,113626,96,22,7,87,91,salaried,family,0
60,112276,22.3,111867,337242,96,25,7,77,53,self_employed,family,0
54,81517,15.7,71984,280619,24,96,4,50,54,salaried,family,1
30,48311,9.6,40056,162172,24,58,6,62,89,salaried,owned,0
45,118898,14.6,182327,60240,84,66,0,65,58,self_employed,family,0
47,88545,18.7,143165,366278,48,67,3,54,75,salaried,owned,0
46,112919,4.1,122523,116913,120,8,6,95,92,self_employed,owned,0
50,41819,1.3,99379,221627,48,63,5,63,68,salaried,family,0
26,79644,0.5,141405,77307,72,33,10,28,25,self_employed,family,1
22,99439,3.8,33088,298282,24,77,3,79,52,self_employed,owned,0
28,119946,20.5,81536,106674,12,44,9,68,70,unemployed,owned,0
36,31356,17.4,79058,364788,24,77,0,64,88,salaried,owned,0
42,19658,21.2,215569,307006,24,60,5,78,39,salaried,rented,1
38,98728,20.2,141078,303491,96,60,9,54,61,self_employed,family,0
49,49963,18.8,149382,369989,84,48,0,83,61,salaried,owned,0
42,54655,22.0,183811,194844,120,6,8,44,30,salaried,owned,0
36,108519,11.9,186605,307331,96,7,1,57,48,salaried,owned,0
44,80031,13.8,90113,273086,120,47,5,78,54,salaried,owned,0
41,33670,18.6,199803,147071,48,32,7,55,95,unemployed,rented,0
27,43443,7.4,94602,144079,60,6,8,36,55,salaried,owned,0
29,101606,21.7,128680,103785,12,78,4,80,81,salaried,owned,0
51,32953,20.6,105043,307816,24,78,10,26,39,salaried,rented,1
36,33525,14.0,109097,367885,48,71,6,77,76,salaried,rented,0
57,99399,1.5,194009,102026,48,85,3,53,30,salaried,owned,1
21,71545,11.3,155664,296369,60,9,3,56,56,self_employed,rented,0
37,99927,14.7,210739,153714,84,19,8,48,39,self_employed,family,1
31,58319,14.9,216069,348428,60,61,1,79,58,self_employed,family,0
52,75377,2.0,10449,276507,72,82,4,23,31,salaried,rented,1
58,20719,25.0,176234,191301,12,27,7,86,76,self_employed,owned,1
52,29959,11.8,107046,224749,72,90,1,40,62,salaried,rented,1
46,117680,13.8,119229,96168,72,37,5,34,71,self_employed,family,1
55,78552,10.3,49173,321811,72,84,7,76,26,salaried,rented,0
49,109521,12.1,7567,369224,48,95,2,59,90,salaried,owned,0
28,78482,23.7,169793,130725,96,96,4,85,54,salaried,rented,0
50,90255,3.6,49967,364246,120,22,1,55,73,salaried,rented,0
21,55072,18.2,219539,357724,96,24,7,88,81,salaried,rented,0
50,60176,21.7,182845,175202,84,34,6,25,60,self_employed,rented,0
45,104991,19.8,170922,129746,96,9,2,84,95,salaried,owned,0
27,86937,22.8,4023,125578,84,88,2,29,80,self_employed,owned,0
46,103175,2.0,86131,329771,84,45,10,82,89,salaried,owned,0
39,47817,18.7,113763,101612,24,61,2,58,23,salaried,rented,0
44,74450,3.6,139242,266033,36,26,2,30,98,self_employed,rented,0
58,36758,5.8,167222,183157,96,37,10,21,79,self_employed,rented,0
49,63293,24.7,78421,272460,60,63,4,45,69,self_employed,owned,0
43,93341,7.4,183311,204785,12,89,6,55,21,salaried,rented,1
24,97482,18.6,218323,200048,48,82,5,48,44,self_employed,rented,1
29,100345,2.4,164484,70668,60,61,0,94,66,self_employed,owned,0
47,41021,5.0,206179,332805,72,72,8,54,41,salaried,family,1
39,115853,21.8,210824,110382,96,14,2,48,70,unemployed,family,0
46,19824,6.6,32398,288438,72,91,10,53,94,salaried,rented,1
35,79797,0.6,147169,221969,48,87,1,79,58,self_employed,owned,1
23,57893,24.9,30440,100956,48,73,2,69,78,salaried,family,0
55,72935,14.7,190473,131014,84,88,1,82,98,salaried,family,0
44,46477,11.1,61895,240151,24,92,5,89,65,salaried,owned,0
50,30015,16.6,168218,363076,12,11,5,51,36,self_employed,owned,1
56,45152,14.7,213136,172158,72,23,9,20,55,self_employed,owned,0
37,40871,2.7,6758,119102,12,50,3,95,61,salaried,owned,0
47,86955,2.8,16661,299690,96,51,8,95,33,salaried,owned,0
54,57535,11.5,8165,81890,96,56,6,33,82,self_employed,rented,0
41,97730,3.7,33080,194187,120,96,5,68,96,salaried,rented,0
27,109983,2.9,171629,339058,48,60,7,49,72,salaried,rented,0
27,58966,10.7,174354,183635,72,24,10,80,28,salaried,owned,0
44,35054,13.9,153738,344433,120,47,10,35,72,salaried,rented,0
24,55700,15.0,92181,104316,120,32,2,81,48,self_employed,owned,0
28,117956,7.0,59286,274978,120,84,9,91,23,salaried,rented,0
22,41647,6.8,199861,211996,72,49,0,43,38,salaried,owned,0
22,30026,18.7,56395,247234,84,63,5,40,67,salaried,owned,0
59,29135,22.1,40784,132528,12,91,1,54,76,self_employed,rented,1
38,46255,18.9,29836,230969,84,19,4,95,82,salaried,owned,0
59,25180,0.2,79015,160747,36,37,4,61,35,salaried,rented,1
45,87806,17.6,131140,342932,72,14,6,25,75,salaried,family,0
57,74267,14.3,185990,268991,60,19,6,22,61,salaried,family,0
44,29551,10.9,27751,177567,84,80,6,87,30,salaried,owned,1
42,40037,1.9,165996,109782,120,70,3,64,64,self_employed,family,0
36,31474,3.7,51713,140963,36,88,1,42,83,salaried,rented,0
57,102278,15.9,163714,219454,72,24,7,28,80,salaried,owned,0
24,64129,12.7,81371,292086,96,9,0,67,56,salaried,family,0
60,95867,12.7,121297,354259,120,10,7,93,44,salaried,rented,0
24,77050,2.6,219513,230060,24,69,10,42,25,salaried,rented,1
54,97928,4.0,97740,198317,84,57,5,96,26,self_employed,rented,0
27,91133,17.0,74487,182118,36,47,1,94,38,self_employed,owned,0
46,34901,14.9,22208,212310,120,53,10,62,36,self_employed,family,1
54,30249,16.2,110993,316594,72,7,5,59,43,unemployed,owned,1
33,47693,25.0,40617,90456,60,17,8,89,87,salaried,owned,0
29,96282,9.4,42532,144815,36,97,7,25,72,salaried,rented,1
60,55346,18.8,205468,285367,48,73,3,59,80,self_employed,owned,0
57,75749,11.5,73864,250211,120,72,6,40,45,self_employed,owned,1
51,66655,13.9,26893,320485,24,41,1,40,54,salaried,rented,0
26,47102,20.4,91641,63982,84,11,6,84,67,salaried,family,0
22,59770,23.3,219985,225788,36,22,0,56,80,self_employed,owned,0
49,98654,0.1,20768,59963,60,32,2,90,97,salaried,owned,0
40,33970,1.2,110054,376532,96,13,1,83,96,salaried,rented,0
30,56177,10.7,161168,234977,48,78,6,43,30,salaried,owned,1
55,84496,19.7,133070,340535,12,54,7,25,69,unemployed,owned,1
25,63193,6.0,172255,379387,24,79,5,37,25,salaried,owned,1
50,109146,12.0,47783,120701,24,96,7,24,57,salaried,rented,1
41,58642,12.9,213753,334704,96,37,0,44,56,salaried,rented,0
42,53811,3.1,96474,279088,84,61,6,63,43,salaried,rented,0
54,52959,20.0,190600,272560,24,60,9,43,89,salaried,owned,0
39,58173,11.1,188131,273407,36,93,7,64,77,salaried,family,0
48,53986,16.0,207481,80072,24,90,10,71,66,salaried,rented,0
22,36714,21.2,177756,279728,12,21,1,50,66,salaried,family,0
30,107006,11.2,97246,245042,96,14,9,37,87,salaried,owned,0
28,21396,18.4,130821,321447,84,76,1,53,53,self_employed,owned,1
52,44237,3.1,19412,287000,36,96,7,31,60,self_employed,rented,1
39,57315,21.3,186596,141273,72,70,3,35,45,self_employed,owned,0
44,90616,14.3,122527,339221,36,83,1,28,59,salaried,rented,0
47,118815,10.2,150706,88666,36,45,10,29,77,salaried,rented,0
56,101859,14.7,201269,117650,84,69,0,35,86,salaried,owned,0
35,63353,23.7,136025,198923,24,37,3,90,55,salaried,owned,0
53,102015,4.2,152212,130842,36,89,9,97,63,self_employed,rented,0
22,28646,1.1,168153,352394,60,88,3,93,73,salaried,owned,1
55,55967,16.0,79192,303202,48,92,6,58,78,salaried,owned,0
51,78875,5.1,159032,125323,72,96,5,64,71,salaried,owned,0
41,49685,11.7,70116,285717,48,23,1,26,57,unemployed,family,0
31,60917,23.3,189039,213952,48,25,7,85,79,salaried,owned,0
46,84249,11.4,63105,162797,72,11,0,56,83,salaried,family,0
39,88345,0.2,28179,275930,36,38,5,71,66,salaried,owned,0
44,90512,7.2,101279,314375,96,75,4,98,35,salaried,owned,0
42,91116,23.5,197909,125637,48,82,8,71,84,salaried,owned,0
51,86069,11.4,158927,320273,36,46,9,60,40,salaried,rented,0
58,62089,12.7,133618,329099,96,95,9,58,80,self_employed,owned,1
47,94507,7.7,190139,379913,12,81,7,53,94,salaried,rented,0
31,86712,15.7,162460,249329,36,92,3,24,93,unemployed,owned,0
41,72890,3.8,181010,156897,84,69,9,80,27,self_employed,rented,0
51,86875,9.4,45398,290996,120,48,8,65,53,salaried,owned,0
56,57124,5.6,78017,201521,48,93,7,60,81,salaried,family,0
38,55721,3.0,177372,334788,84,55,5,38,57,salaried,family,0
49,103979,6.4,125587,162190,48,73,4,91,54,salaried,rented,0
36,24653,16.7,139209,168316,48,11,1,72,62,self_employed,owned,0
21,90135,24.4,41403,263336,96,66,10,45,56,salaried,rented,0
26,103498,14.4,140286,69555,36,58,2,24,70,self_employed,owned,0
39,22910,0.2,148887,366031,24,47,4,78,89,salaried,family,1
53,79344,6.8,212025,109059,72,25,7,52,43,salaried,owned,0
33,41002,15.3,167438,262593,84,70,5,31,71,self_employed,owned,0
41,50512,0.2,100551,173480,96,39,5,58,94,self_employed,owned,0
36,26142,16.7,122000,210854,36,56,10,84,59,self_employed,rented,1
44,98560,5.5,35014,300705,36,63,9,67,73,self_employed,family,0
34,117858,6.2,197850,362378,24,72,7,87,66,salaried,rented,0
56,84255,5.1,140682,128565,36,46,8,76,34,self_employed,rented,0
53,76390,20.2,118864,119176,120,58,7,92,27,salaried,rented,0
22,69897,6.4,790,164243,24,10,6,64,28,salaried,owned,0
51,22159,7.2,47181,121003,84,52,6,77,68,salaried,rented,0
55,35431,16.3,91165,112197,36,73,6,87,36,self_employed,owned,0
22,57107,11.6,188506,335446,84,73,6,49,51,salaried,owned,0
28,22222,20.2,109901,372396,12,35,3,28,32,salaried,rented,1
24,50077,18.5,105451,280142,48,74,3,27,37,salaried,owned,1
57,59799,14.4,202516,218120,48,43,2,86,48,salaried,owned,0
58,114365,22.8,164100,273976,120,68,0,64,68,self_employed,owned,0
30,57306,9.4,197765,332029,96,35,3,58,38,self_employed,family,0
47,91044,13.2,101821,177327,60,31,5,30,77,self_employed,owned,0
33,24755,6.7,176599,367178,12,14,3,95,91,salaried,owned,0
40,20009,5.3,49813,111507,96,36,9,46,70,self_employed,rented,1
45,79112,13.3,94177,211702,60,51,8,83,79,salaried,family,0
41,44624,9.3,108509,73968,48,23,0,53,90,unemployed,rented,0
30,43715,8.2,99572,348733,48,68,8,63,52,self_employed,rented,0
52,78401,4.2,208398,234641,36,22,8,82,43,self_employed,rented,0
24,86674,0.8,19485,75435,12,57,2,49,28,self_employed,owned,1
44,25923,15.4,174785,373233,96,89,7,22,20,salaried,owned,0
38,88220,24.4,4493,313305,84,27,1,32,87,salaried,owned,0
43,53038,19.9,20714,245586,84,63,9,51,48,salaried,family,0
23,30255,10.1,98872,339774,96,12,10,21,41,salaried,family,1
42,92167,24.4,24998,326907,12,34,3,92,80,salaried,family,0
38,89176,14.1,8625,144033,72,7,3,95,38,self_employed,rented,0
25,57226,4.1,63038,347111,84,91,8,62,69,self_employed,owned,0
26,83639,18.6,90664,78152,24,60,3,29,63,salaried,rented,0
41,21883,15.9,205402,286218,96,34,5,90,68,salaried,rented,0
26,119209,15.5,209205,179210,24,15,4,39,68,self_employed,rented,0
41,65277,2.7,1361,211620,96,51,4,33,36,salaried,rented,0
53,71483,2.6,23493,235553,120,16,9,96,61,self_employed,owned,0
26,113006,22.5,63633,349871,120,26,10,68,41,salaried,owned,0
25,39916,10.9,110389,207156,96,14,5,52,51,self_employed,rented,0
50,32021,3.4,1774,257456,72,84,6,62,76,salaried,family,0
59,35842,7.5,158128,155304,96,45,2,70,60,salaried,rented,0
57,49775,8.1,73479,256011,72,19,9,45,95,unemployed,owned,0
22,113317,11.5,185694,159916,96,42,1,72,83,salaried,owned,0
30,111747,10.6,98825,88779,96,81,7,94,71,salaried,family,0
47,89256,0.9,94248,331493,24,18,3,65,41,self_employed,owned,0
46,116655,8.3,208727,275682,24,6,1,53,48,salaried,rented,0
57,46971,11.1,102533,292778,120,24,5,23,81,salaried,owned,0
28,113702,3.5,81760,229865,96,31,8,81,64,salaried,rented,0
41,26804,7.5,212385,110337,12,48,10,33,41,unemployed,rented,1
56,38989,8.3,111770,292249,48,56,10,43,43,self_employed,rented,1
60,43863,11.2,112604,253861,12,95,3,46,55,self_employed,family,1
27,88371,4.7,85454,153323,96,19,4,82,87,unemployed,owned,0
46,94939,2.9,92270,290050,36,91,4,98,95,salaried,owned,0
40,33328,4.6,181780,124112,120,54,6,96,37,salaried,rented,0
55,108889,23.0,45412,340934,36,67,4,37,43,salaried,rented,0
43,19256,12.1,51151,251297,120,69,10,83,72,self_employed,owned,1
52,39922,2.1,8089,165620,60,9,4,48,88,salaried,rented,0
52,90053,12.8,150133,109877,60,74,5,89,25,self_employed,rented,0
48,31423,18.4,171356,179777,60,9,7,53,64,self_employed,owned,0
28,119663,20.3,55018,358241,72,95,9,74,41,salaried,rented,1
24,92720,8.8,73684,362925,120,26,5,57,57,salaried,family,0
27,35771,24.1,205964,265794,12,40,10,36,36,salaried,rented,1
46,82154,3.6,165780,190885,84,53,7,29,31,salaried,rented,0
44,77597,23.8,85796,355112,12,98,1,78,65,self_employed,rented,0
48,45767,12.4,84637,198684,72,75,9,36,92,self_employed,rented,1
24,24021,2.5,205491,290953,12,20,2,76,78,salaried,family,0
29,103196,7.5,71832,98937,72,37,1,67,41,salaried,rented,0
35,74260,16.4,184470,99903,12,32,7,29,36,salaried,rented,0
21,109173,8.6,31612,271414,36,66,1,49,69,salaried,family,0
44,57223,3.4,202758,119806,36,13,8,92,21,salaried,owned,0
34,100323,18.7,107927,373001,96,32,1,32,37,self_employed,rented,0
48,59222,19.8,64955,195210,24,36,8,96,96,self_employed,owned,0
22,104298,21.9,53856,321449,120,29,6,57,26,self_employed,rented,0
45,32777,6.0,167269,361390,24,72,0,66,60,salaried,family,0
44,89612,17.1,199944,296947,24,7,9,28,21,salaried,owned,0
46,84402,7.2,186811,312693,84,59,6,30,88,salaried,owned,0
26,85017,23.0,211828,131462,120,46,6,95,28,salaried,rented,0
36,25589,6.1,113897,110810,96,83,9,27,59,self_employed,rented,1
21,110785,3.4,2975,135895,96,49,8,86,53,salaried,owned,0
38,114067,22.2,202225,65391,72,59,4,87,28,salaried,family,0
52,77663,12.8,14533,311939,36,52,2,52,33,self_employed,rented,0
53,18336,1.1,3221,178215,12,65,5,69,39,salaried,family,1
47,47427,8.0,109119,217738,60,14,9,67,35,salaried,family,0
54,24019,23.9,18068,293843,60,44,5,31,90,salaried,owned,0
40,114937,15.6,121615,243081,96,30,8,51,39,salaried,owned,0
43,101354,21.0,2515,225645,12,89,6,59,33,salaried,family,1
24,36661,17.8,24386,73016,48,71,6,67,78,unemployed,owned,1
29,101521,20.5,19616,360323,12,60,10,36,50,salaried,family,1
46,109845,20.8,85524,216753,96,39,3,29,45,salaried,rented,0
27,39544,11.2,82321,263129,24,73,5,46,77,salaried,owned,0
31,107922,7.6,184734,366304,12,32,5,38,31,self_employed,family,1
24,106759,7.5,214981,141156,12,56,7,91,90,salaried,rented,0
29,33919,0.3,217677,166543,36,30,6,67,30,salaried,owned,1
22,26450,4.9,169341,282485,36,16,5,35,25,unemployed,owned,1
48,112952,9.9,7728,250660,84,27,5,47,43,salaried,rented,0
60,99156,15.4,169680,204720,96,57,8,81,27,salaried,owned,0
54,50656,15.8,210283,335032,12,53,5,81,89,self_employed,owned,0
41,68905,6.8,6832,217183,48,8,4,27,80,salaried,rented,0
31,31124,6.2,63216,189736,120,12,3,93,69,salaried,family,0
32,49005,14.8,211343,238105,12,95,5,92,92,salaried,family,0
52,89057,7.7,128564,69903,24,12,3,97,48,salaried,rented,0
60,44406,20.2,89327,143040,72,12,0,38,95,self_employed,owned,0
54,65826,24.0,97934,257406,24,48,4,61,37,unemployed,rented,0
52,103089,7.9,185383,344637,72,33,10,95,42,salaried,rented,0
32,113529,0.0,184027,350330,84,77,0,43,97,salaried,family,0
57,31645,23.4,36868,223627,24,35,5,60,41,self_employed,family,0
42,76540,0.3,54967,180831,24,49,4,33,20,salaried,rented,1
31,72266,12.3,99277,234146,120,53,1,81,93,self_employed,rented,0
25,22379,7.4,83549,186906,24,14,5,41,68,salaried,owned,0
26,62295,14.9,160863,303093,12,60,10,41,97,self_employed,owned,0
34,42901,10.2,145257,333181,60,89,4,58,50,salaried,owned,1
52,38131,1.4,1000,274188,24,42,10,96,81,salaried,owned,0
39,28739,11.8,30279,211665,84,65,7,53,31,self_employed,owned,1
45,66418,4.7,11696,188042,96,64,4,48,54,salaried,owned,0
27,29233,16.7,211859,333875,84,80,3,90,27,self_employed,family,1
55,108055,21.7,124472,350267,48,65,4,30,70,self_employed,rented,0
54,92905,16.9,162600,127305,24,62,2,41,47,self_employed,owned,0
48,44465,24.9,164423,127530,60,45,1,31,69,salaried,rented,0
54,78051,22.9,3241,376661,120,58,1,73,39,salaried,rented,0
27,31845,14.1,26474,199995,120,49,6,53,69,self_employed,rented,0
32,54099,10.1,162069,369110,84,9,6,62,50,salaried,rented,0
44,20651,8.4,208051,208888,60,40,7,32,49,salaried,family,1
41,53313,18.2,158591,96812,48,61,3,72,82,self_employed,family,0
53,38836,1.6,186009,315706,84,22,8,92,23,salaried,family,1
24,50701,0.8,13253,238940,48,40,5,79,84,salaried,family,0
36,66819,12.2,116943,143104,96,80,8,64,64,salaried,family,0
26,55364,0.7,13015,135410,48,33,10,48,46,salaried,owned,0
21,80140,22.8,169704,140807,12,33,4,97,59,self_employed,rented,0
45,63706,11.5,57202,294684,60,91,8,70,94,salaried,rented,0
44,91591,16.2,159658,198204,60,92,1,81,28,salaried,owned,0
38,52229,16.4,170778,206652,48,24,8,50,27,self_employed,family,1
41,107228,3.5,6672,310766,60,38,6,71,69,self_employed,rented,0
33,62979,18.2,58291,330302,96,90,5,84,58,self_employed,family,1
32,56506,2.4,33539,185608,120,28,10,62,31,salaried,owned,0
47,61426,9.3,153503,204167,96,20,7,26,94,salaried,rented,0
33,83598,3.0,178440,250104,120,43,6,26,39,salaried,owned,0
57,77974,3.6,187608,144558,24,67,5,42,60,self_employed,owned,0
31,93534,19.1,128339,96159,36,83,6,74,71,salaried,rented,1
55,44137,18.3,3690,218932,120,29,0,20,51,salaried,family,0
27,68272,12.6,80246,137566,24,10,4,57,78,self_employed,rented,0
29,62922,24.9,128497,238350,48,26,6,22,49,salaried,family,0
22,95292,12.6,32286,242199,12,53,10,52,88,self_employed,rented,0
27,103664,20.9,12644,110707,84,61,6,35,90,salaried,rented,0
21,57467,10.5,26471,322791,60,84,9,37,73,self_employed,owned,1
28,55054,2.9,27856,310958,48,82,3,53,86,unemployed,owned,1
31,23164,13.7,54445,302006,72,35,0,21,31,self_employed,family,1
30,29807,19.5,19673,103105,60,87,3,78,57,salaried,owned,1
23,56085,9.0,177410,213948,84,19,1,25,21,self_employed,rented,0
43,75372,23.9,70335,98733,72,48,2,34,71,salaried,rented,0
51,73278,16.2,208905,137440,24,21,0,40,33,salaried,rented,0
49,41758,15.3,204253,238009,12,92,2,81,82,salaried,owned,0
37,103848,7.9,184698,325155,48,90,5,86,86,self_employed,rented,0
36,81167,8.6,177286,251786,36,76,9,26,21,self_employed,owned,1
52,39679,1.9,128882,218104,48,47,4,26,84,salaried,rented,0
36,28332,11.5,210045,350435,96,16,7,77,60,salaried,rented,0
27,70879,10.3,146048,337885,12,16,9,58,85,salaried,rented,0
42,65624,20.6,214063,166873,96,47,8,96,80,self_employed,owned,0
27,117525,16.5,575,228969,72,86,4,90,86,salaried,owned,0
52,36408,20.5,194644,264544,24,37,9,45,44,salaried,family,1
33,111950,8.4,198482,267301,12,86,10,95,35,self_employed,rented,1
53,35647,24.1,1137,328063,12,75,6,94,81,unemployed,rented,1
58,40760,18.3,33654,104292,84,89,9,97,61,salaried,owned,0
36,53860,9.9,89878,204231,96,22,2,72,97,self_employed,rented,0
56,59144,17.8,145118,163950,48,31,9,57,64,unemployed,owned,0
32,84046,13.6,166953,219020,24,50,8,81,94,salaried,rented,0
55,55477,21.9,110726,56695,120,18,0,68,38,salaried,owned,0
31,55567,17.1,38385,82523,60,31,8,24,65,self_employed,owned,0
56,47400,18.6,147133,253888,48,70,4,26,68,salaried,family,0
41,90368,1.3,194948,181775,48,84,7,48,67,self_employed,rented,1
33,56558,11.2,178954,89043,36,27,8,35,68,salaried,owned,0
31,94544,21.2,1479,223310,96,95,2,25,39,unemployed,rented,1
60,104755,7.5,207069,350247,120,50,1,60,87,salaried,owned,0
53,38889,10.4,140780,261506,24,49,3,47,62,salaried,owned,0
60,87533,11.9,147150,54615,24,90,5,77,50,self_employed,rented,0
23,107463,22.1,99974,109440,84,37,8,56,23,self_employed,family,1
53,76400,12.2,77708,150931,72,70,1,32,41,unemployed,rented,1
25,45627,16.8,202789,161765,84,18,3,88,75,self_employed,family,0
30,21113,11.5,86957,69863,24,14,0,42,52,salaried,rented,0
37,71429,9.7,165207,262047,84,45,0,69,35,salaried,rented,0
58,23965,17.5,19028,237537,120,18,4,58,97,salaried,rented,0
46,104602,0.8,40979,329690,48,22,6,89,57,unemployed,owned,1
44,19461,13.8,145508,124120,24,10,0,93,96,salaried,rented,0
34,116080,18.5,190300,230277,48,57,10,85,38,salaried,owned,0
33,33023,4.5,209626,347424,12,75,7,90,29,salaried,owned,1
58,81857,23.8,93621,117221,48,17,4,28,44,salaried,rented,0
40,108892,14.6,148256,347198,72,45,6,41,20,salaried,rented,0
48,54264,21.0,35207,223834,96,64,7,65,59,salaried,owned,0
26,54780,21.5,36700,332390,48,38,10,29,29,self_employed,family,1
58,93877,10.1,154674,161547,12,75,4,89,89,salaried,rented,0
35,119206,14.7,76283,120192,96,69,8,31,70,salaried,owned,0
60,107674,4.1,134777,123594,96,25,2,92,92,self_employed,family,0
51,65028,1.0,199615,305664,48,13,4,67,49,salaried,owned,0
44,68868,11.7,119182,74346,12,88,5,33,86,self_employed,owned,1
58,89349,14.3,98739,248452,72,80,10,29,86,salaried,family,1
46,64255,20.4,90448,305255,96,82,0,84,37,salaried,owned,0
38,45723,3.8,41250,239909,24,89,3,73,62,self_employed,rented,0
34,95436,4.0,218461,265429,12,36,0,36,93,salaried,owned,0
57,37249,1.4,67701,144391,120,56,9,92,22,self_employed,rented,1
26,46389,11.2,123578,302532,36,33,6,96,38,self_employed,family,0
53,52671,4.2,179723,229658,96,81,9,28,49,salaried,owned,0
54,84107,17.1,216665,128413,24,27,7,98,96,salaried,rented,0
28,30214,12.1,34164,366394,120,5,10,75,86,salaried,family,0
48,48079,23.5,126385,249877,72,80,9,32,74,salaried,rented,0
26,55128,15.0,142535,264248,60,29,0,20,93,salaried,rented,0
34,108146,20.1,107176,239933,24,24,6,94,52,salaried,rented,0
60,54118,24.8,104190,156794,84,75,8,81,42,salaried,rented,0
40,93713,8.6,184941,258734,36,89,1,49,77,self_employed,family,0
53,70502,19.7,209939,338660,12,25,6,20,31,self_employed,rented,1
26,26399,6.6,97212,91963,12,97,6,71,98,self_employed,owned,1
24,119398,20.5,167848,309191,96,6,3,86,56,salaried,rented,0
35,98634,4.2,9453,238607,48,88,0,40,31,unemployed,rented,1
46,71143,14.7,135723,58056,24,16,8,56,91,self_employed,owned,0
38,47661,15.2,50993,288424,84,78,0,53,42,salaried,owned,0
39,62560,23.7,210486,319110,60,73,9,52,76,unemployed,rented,1
42,119659,11.5,120775,357666,12,66,1,53,28,salaried,rented,0
35,59383,10.3,92562,320796,120,6,4,51,56,salaried,rented,0
25,90686,23.3,124926,214559,72,32,9,54,43,unemployed,rented,1
52,114614,5.0,192788,176907,60,31,3,45,51,self_employed,owned,0
28,28287,16.9,173912,308298,12,74,0,81,67,self_employed,rented,0
57,54009,12.3,200346,317981,60,55,3,93,36,salaried,rented,0
55,22268,12.6,103210,141645,96,20,8,78,60,self_employed,owned,0
58,31205,8.1,160636,186157,36,75,4,50,54,salaried,rented,0
52,73567,5.3,183687,245197,72,56,4,77,43,salaried,family,0
27,112478,6.7,61814,341158,84,53,3,38,39,salaried,owned,0
29,100660,12.9,188890,215532,96,43,4,91,92,salaried,owned,0
34,51330,11.9,165114,100489,96,47,4,66,66,salaried,family,0
22,71970,3.0,178149,367496,48,78,9,88,42,unemployed,owned,1
53,81896,19.4,117160,91108,84,83,4,79,38,self_employed,rented,0
47,100742,15.3,106108,87404,24,25,5,49,60,salaried,owned,0
46,53553,22.2,204727,240402,120,62,6,41,43,self_employed,owned,1
37,115501,17.5,20988,160400,36,55,1,32,28,unemployed,rented,0
